codigo_ibge,anomes_s,formento_qtd_familias_beneficiarias_i,formento_qtd_familias_beneficiarias_acumulado_i
110025,201612,1,87
110100,201612,1,77
120010,201612,1,137
120020,201612,6,491
120030,201612,2,369
120032,201612,3,169
120038,201612,2,63
120040,201612,7,301
120050,201612,9,82
120060,201612,17,577
130020,201612,1,649
130050,201612,53,452
130070,201612,2,279
130100,201612,7,655
130140,201612,4,749
130150,201612,3,282
130160,201612,1,365
130165,201612,4,269
130180,201612,5,359
130195,201612,4,507
130220,201612,12,216
130230,201612,1,849
130240,201612,1,708
130250,201612,1,3
130270,201612,8,511
130300,201612,10,213
130340,201612,25,371
130350,201612,2,572
130370,201612,1,145
130390,201612,1,147
130406,201612,3,185
130423,201612,2,369
140002,201612,117,117
140005,201612,236,236
140010,201612,186,186
140015,201612,172,172
140017,201612,106,106
140020,201612,191,191
140023,201612,89,89
140028,201612,15,15
140030,201612,6,6
140040,201612,1,1
140045,201612,2,2
140047,201612,169,169
140050,201612,59,59
140060,201612,141,141
140070,201612,1,1
150060,201612,75,75
150085,201612,1,130
150090,201612,1,375
150160,201612,1,121
150170,201612,1,429
150180,201612,1,228
150250,201612,1,63
150275,201612,1,138
150530,201612,1,1
150540,201612,1,69
150590,201612,6,8
150610,201612,2,209
150640,201612,4,168
150660,201612,1,108
150780,201612,475,475
150803,201612,1,287
150835,201612,54,54
210005,201612,1,3
210020,201612,2,1332
210030,201612,4,258
210047,201612,1,1
210070,201612,2,2
210080,201612,1,136
210090,201612,1,48
210100,201612,1,294
210130,201612,5,299
210135,201612,18,191
210190,201612,3,560
210210,201612,1,514
210220,201612,3,497
210230,201612,55,192
210237,201612,2,262
210240,201612,16,292
210250,201612,1,459
210300,201612,69,797
210310,201612,9,304
210320,201612,2,738
210340,201612,15,286
210370,201612,18,393
210420,201612,56,192
210540,201612,98,354
210640,201612,3,246
210650,201612,3,376
210780,201612,56,247
210830,201612,2,381
210840,201612,27,447
210860,201612,2,808
210920,201612,1,73
210927,201612,1,373
210960,201612,5,275
210980,201612,2,492
211010,201612,6,382
211020,201612,1,4
211060,201612,3,433
211107,201612,35,178
211178,201612,4,291
211220,201612,59,233
211230,201612,1,2
211240,201612,1,698
211245,201612,7,387
211260,201612,1,271
211280,201612,3,700
211290,201612,1,372
220120,201612,1,688
220150,201612,35,504
220196,201612,2,103
220205,201612,1,13
220217,201612,1,149
220255,201612,1,129
220285,201612,64,135
220327,201612,1,266
220335,201612,2,2
220345,201612,23,23
220370,201612,48,359
220375,201612,3,23
220515,201612,1,220
220520,201612,1,404
220527,201612,2,18
220540,201612,16,385
220545,201612,1,106
220556,201612,10,21
220557,201612,1,194
220580,201612,50,339
220585,201612,2,177
220610,201612,1,164
220667,201612,16,115
220780,201612,2,524
220830,201612,46,221
220840,201612,3,469
220990,201612,1,47
220997,201612,30,143
221035,201612,22,22
221060,201612,53,80
221065,201612,1,24
221130,201612,2,61
221135,201612,4,15
230010,201612,1,173
230015,201612,5,67
230050,201612,3,58
230070,201612,32,248
230110,201612,2,71
230120,201612,3,146
230125,201612,1,152
230130,201612,2,215
230140,201612,3,73
230185,201612,6,374
230195,201612,1,64
230200,201612,1,178
230210,201612,6,75
230220,201612,1,152
230240,201612,72,251
230260,201612,3,225
230280,201612,1,242
230290,201612,1,76
230320,201612,2,336
230330,201612,1,134
230340,201612,5,209
230350,201612,4,75
230360,201612,1,215
230370,201612,9,134
230380,201612,4,125
230393,201612,2,430
230395,201612,2,75
230410,201612,4,685
230420,201612,2,311
230423,201612,1,215
230425,201612,3,151
230426,201612,2,171
230430,201612,2,331
230450,201612,3,131
230465,201612,1,71
230470,201612,1,230
230480,201612,5,150
230500,201612,2,233
230520,201612,2,394
230526,201612,5,313
230530,201612,12,238
230535,201612,1,68
230540,201612,3,245
230560,201612,3,505
230565,201612,1,325
230570,201612,1,146
230580,201612,1,351
230590,201612,1,611
230600,201612,6,80
230610,201612,1,356
230660,201612,4,149
230670,201612,4,128
230680,201612,1,65
230690,201612,3,222
230700,201612,1,132
230710,201612,1,409
230720,201612,3,171
230740,201612,1,137
230750,201612,1,216
230763,201612,49,132
230770,201612,2,151
230800,201612,3,146
230810,201612,3,489
230820,201612,3,64
230830,201612,3,241
230835,201612,2,168
230840,201612,2,338
230850,201612,2,588
230870,201612,5,310
230880,201612,1,76
230890,201612,70,77
230900,201612,2,72
230930,201612,3,295
230940,201612,2,446
230945,201612,5,325
230950,201612,4,76
230960,201612,2,76
231010,201612,1,77
231025,201612,5,180
231030,201612,1,439
231040,201612,2,95
231070,201612,6,357
231080,201612,2,221
231090,201612,2,326
231095,201612,4,165
231120,201612,1,150
231123,201612,50,125
231130,201612,1,459
231135,201612,1,220
231150,201612,8,71
231160,201612,3,74
231180,201612,102,301
231190,201612,2,180
231195,201612,2,281
231200,201612,1,385
231210,201612,1,359
231220,201612,1,621
