codigo_ibge,anomes_s,formento_qtd_familias_beneficiarias_i,formento_qtd_familias_beneficiarias_acumulado_i
150010,202012,38,1644
150030,202012,20,163
150090,202012,19,394
150110,202012,16,93
150130,202012,4,381
150150,202012,10,154
150170,202012,28,457
150190,202012,22,171
150195,202012,43,70
150220,202012,38,39
150270,202012,15,15
150293,202012,21,21
150370,202012,19,19
150405,202012,23,23
150410,202012,5,70
150420,202012,21,121
150613,202012,8,8
150620,202012,22,22
150630,202012,1,224
150650,202012,3,148
150720,202012,9,217
150790,202012,15,184
150796,202012,1,152
150800,202012,23,23
150820,202012,1,80
150830,202012,19,525
170025,202012,1,1
170035,202012,2,16
170040,202012,2,30
170070,202012,1,1
170100,202012,1,21
170110,202012,1,17
170130,202012,1,20
170190,202012,11,27
170210,202012,2,26
170215,202012,4,14
170240,202012,12,165
170270,202012,8,27
170300,202012,20,230
170330,202012,1,10
170360,202012,1,1
170386,202012,2,27
170460,202012,1,7
170510,202012,1,15
170555,202012,1,8
170600,202012,4,24
170625,202012,1,10
170700,202012,7,23
170740,202012,5,91
170830,202012,9,17
170900,202012,35,318
170930,202012,1,14
170950,202012,1,24
171050,202012,18,175
171215,202012,1,7
171245,202012,3,26
171320,202012,1,20
171330,202012,1,18
171430,202012,9,22
171488,202012,1,115
171575,202012,6,8
171610,202012,1,1
171620,202012,11,577
171650,202012,3,15
171660,202012,13,134
171665,202012,1,32
171780,202012,9,153
171800,202012,11,11
171840,202012,11,11
171888,202012,8,11
172000,202012,8,8
172020,202012,10,33
172090,202012,1,321
172100,202012,3,19
172110,202012,12,26
172120,202012,13,191
172125,202012,4,4
172208,202012,6,24
172210,202012,3,39
210010,202012,9,204
210015,202012,1,292
210020,202012,3,1522
210030,202012,4,424
210047,202012,2,93
210055,202012,2,160
210060,202012,14,70
210090,202012,2,501
210095,202012,13,207
210100,202012,4,336
210120,202012,1,24
210140,202012,16,53
210150,202012,1,1
210160,202012,12,32
210170,202012,6,99
210173,202012,1,261
210203,202012,7,65
210215,202012,7,191
210250,202012,2,623
210270,202012,4,50
210317,202012,4,194
210320,202012,1,767
210325,202012,1,74
210330,202012,10,546
210355,202012,5,190
210360,202012,4,232
210375,202012,6,23
210408,202012,120,320
210465,202012,2,181
210480,202012,1,7
210515,202012,4,14
210535,202012,14,210
210540,202012,1,516
210547,202012,12,176
210550,202012,1,57
210570,202012,12,36
210596,202012,7,138
210635,202012,5,184
210675,202012,3,18
210825,202012,5,185
210845,202012,1,391
210940,202012,2,199
210975,202012,1,176
210990,202012,2,13
211000,202012,5,23
211023,202012,6,391
211027,202012,6,182
211040,202012,10,216
211090,202012,1,209
211102,202012,1,196
211107,202012,2,406
211125,202012,8,36
211150,202012,4,19
211163,202012,2,172
211172,202012,9,194
211178,202012,1,483
211223,202012,8,45
211230,202012,8,26
211270,202012,2,24
211280,202012,2,808
211300,202012,1,83
220005,202012,6,279
220120,202012,1,842
220173,202012,24,364
220180,202012,7,109
220198,202012,1,45
220230,202012,1,8
220320,202012,10,10
220327,202012,23,319
220380,202012,10,13
220430,202012,22,134
220559,202012,2,44
220720,202012,42,226
220735,202012,8,14
220755,202012,27,175
220810,202012,41,102
220910,202012,45,102
220955,202012,1,15
220985,202012,1,115
221020,202012,12,259
221040,202012,35,49
221070,202012,11,248
221093,202012,1,96
221150,202012,5,152
221170,202012,25,25
230190,202012,6,223
230280,202012,22,319
230320,202012,1,342
230365,202012,7,263
230420,202012,3,369
230423,202012,5,272
230465,202012,9,126
230490,202012,1,1
230550,202012,9,237
230580,202012,3,413
230610,202012,1,396
230810,202012,4,546
230840,202012,1,365
230980,202012,9,33
230990,202012,3,99
231095,202012,3,169
231170,202012,3,266
231180,202012,1,396
231220,202012,13,659
231290,202012,2,247
231395,202012,16,118
240040,202012,4,104
240060,202012,2,138
240090,202012,11,82
240130,202012,1,99
240150,202012,6,67
240160,202012,8,156
240170,202012,4,39
240190,202012,8,35
240210,202012,17,55
240270,202012,5,91
240280,202012,8,81
240290,202012,16,22
240320,202012,3,24
240330,202012,4,9
240400,202012,3,63
240460,202012,1,80
240490,202012,2,32
240500,202012,9,49
240530,202012,17,65
240540,202012,9,65
240550,202012,6,14
240590,202012,40,173
240600,202012,3,99
240620,202012,1,45
240640,202012,3,38
240660,202012,6,42
240680,202012,3,81
240690,202012,10,165
240700,202012,14,19
240725,202012,2,96
240730,202012,14,27
240760,202012,9,9
240780,202012,3,33
240790,202012,33,74
240860,202012,7,15
240870,202012,5,8
240910,202012,2,42
240940,202012,7,954
241000,202012,3,96
241020,202012,24,87
241030,202012,12,98
241050,202012,5,129
241090,202012,5,66
241100,202012,16,24
241120,202012,4,12
241230,202012,5,36
241270,202012,23,32
241310,202012,10,175
241355,202012,7,171
241370,202012,4,61
241400,202012,2,38
241445,202012,28,28
241490,202012,4,110
250135,202012,68,99
250375,202012,8,36
250390,202012,5,24
250420,202012,16,77
250470,202012,46,92
250500,202012,8,235
250970,202012,8,112
251020,202012,3,19
251050,202012,6,41
251065,202012,27,78
251220,202012,10,40
251360,202012,5,42
251380,202012,10,79
251392,202012,15,35
251410,202012,5,31
251480,202012,2,105
251520,202012,7,40
251620,202012,2,125
251740,202012,9,26
260010,202012,17,114
260050,202012,14,382
260060,202012,17,97
260090,202012,11,82
260120,202012,9,148
260160,202012,63,144
260190,202012,15,44
260210,202012,14,764
260300,202012,1,372
260320,202012,15,441
260330,202012,11,58
260350,202012,33,36
260470,202012,13,63
260500,202012,19,41
260510,202012,23,23
260515,202012,6,213
260520,202012,1,1
260570,202012,19,226
260600,202012,87,358
260640,202012,2,41
260660,202012,40,389
260690,202012,22,195
260700,202012,12,437
260730,202012,13,322
260805,202012,2,72
260825,202012,1,50
260830,202012,21,100
260880,202012,1,99
260915,202012,11,337
260980,202012,26,327
261030,202012,16,289
261040,202012,3,270
261080,202012,2,177
261100,202012,14,213
261120,202012,16,91
261180,202012,10,67
261190,202012,12,69
261230,202012,2,205
261245,202012,15,495
261247,202012,1,146
261260,202012,11,1183
261290,202012,13,70
261330,202012,9,47
261420,202012,4,51
261480,202012,9,431
261520,202012,14,26
261570,202012,15,151
261580,202012,24,285
261600,202012,10,141
261610,202012,1,71
270010,202012,31,346
270030,202012,47,335
270070,202012,65,220
270080,202012,13,17
270180,202012,1,123
270235,202012,69,345
270240,202012,28,396
270260,202012,64,217
270290,202012,64,328
270310,202012,81,315
270330,202012,3,337
270340,202012,4,132
270350,202012,1,12
270440,202012,63,154
270500,202012,2,432
270530,202012,17,105
270540,202012,11,309
270550,202012,1,111
270580,202012,14,276
270620,202012,14,217
270630,202012,88,283
270642,202012,3,150
270710,202012,12,333
270720,202012,1,293
270750,202012,66,67
270800,202012,5,451
270820,202012,61,67
270840,202012,36,395
270880,202012,65,305
270895,202012,32,212
270900,202012,33,34
270910,202012,54,208
270920,202012,88,545
270930,202012,20,21
280070,202012,58,70
280240,202012,50,315
280260,202012,2,86
280270,202012,7,77
280310,202012,36,90
280340,202012,52,62
280380,202012,4,4
280420,202012,19,296
280440,202012,40,134
280490,202012,73,73
280550,202012,4,211
280560,202012,25,355
280640,202012,75,87
290135,202012,1,95
290160,202012,1,270
290270,202012,19,665
290320,202012,1,58
290405,202012,2,129
290490,202012,15,587
290570,202012,5,5
290580,202012,1,1
290600,202012,20,2775
290980,202012,1,65
291080,202012,1,7
291085,202012,2,79
291300,202012,2,76
291770,202012,29,87
291840,202012,3,992
292100,202012,8,8
292140,202012,10,113
292150,202012,1,1554
292170,202012,1,149
292273,202012,2,204
292335,202012,37,49
292380,202012,1,513
292595,202012,1,162
292730,202012,18,18
292850,202012,1,78
292870,202012,1,5
292950,202012,12,12
292980,202012,8,41
292990,202012,1,227
293010,202012,8,269
293020,202012,28,651
293070,202012,3,103
293075,202012,1,228
293245,202012,39,112
293315,202012,1,6
293320,202012,6,6
310050,202012,1,1
310060,202012,14,105
310090,202012,1,189
310170,202012,4,353
310250,202012,2,41
310270,202012,7,108
310440,202012,1,22
310445,202012,1,94
310500,202012,2,5
310520,202012,8,111
310570,202012,3,19
310665,202012,9,109
310730,202012,3,217
310825,202012,13,93
310850,202012,2,126
310860,202012,13,274
310870,202012,6,11
310900,202012,2,2
310930,202012,3,32
310960,202012,3,10
311020,202012,2,6
311170,202012,17,56
311205,202012,9,36
311270,202012,22,107
311300,202012,2,142
311340,202012,1,3
311350,202012,9,51
311545,202012,1,111
311547,202012,18,285
311610,202012,1,106
311670,202012,1,12
311783,202012,11,95
311880,202012,26,333
311890,202012,2,19
311940,202012,11,27
312015,202012,6,124
312087,202012,7,103
312330,202012,4,19
312380,202012,25,179
312400,202012,2,22
312430,202012,1,390
312550,202012,2,68
312560,202012,3,107
312620,202012,10,47
312690,202012,9,19
312705,202012,1,58
312707,202012,9,134
312733,202012,19,186
312735,202012,1,194
312780,202012,2,201
312960,202012,13,92
312965,202012,2,128
313065,202012,1,175
313200,202012,16,141
313230,202012,19,156
313505,202012,57,375
313507,202012,10,31
313510,202012,5,389
313520,202012,4,332
313545,202012,16,138
313550,202012,3,30
313580,202012,3,133
313600,202012,1,87
313610,202012,14,31
313665,202012,4,14
313680,202012,12,170
313700,202012,7,56
313810,202012,16,69
313860,202012,1,17
313890,202012,1,80
313930,202012,5,196
314085,202012,6,313
314090,202012,9,10
314100,202012,3,296
314160,202012,8,11
314270,202012,7,265
314290,202012,12,536
314345,202012,35,123
314490,202012,9,44
314505,202012,1,135
314530,202012,11,137
314535,202012,3,87
314537,202012,1,87
314585,202012,1,19
314620,202012,2,144
314625,202012,1,128
314630,202012,10,174
314655,202012,14,339
314675,202012,1,54
314830,202012,10,57
314840,202012,20,20
314870,202012,10,83
314880,202012,12,53
314900,202012,23,47
315210,202012,2,20
315445,202012,6,62
315450,202012,14,94
315460,202012,14,25
315510,202012,5,92
315560,202012,8,246
315590,202012,1,11
315600,202012,1,63
315650,202012,5,142
315710,202012,11,95
315725,202012,8,56
315760,202012,4,84
315765,202012,4,103
315780,202012,8,10
315895,202012,1,14
315900,202012,3,3
315940,202012,1,3
316045,202012,17,116
316110,202012,13,305
316150,202012,2,19
316240,202012,3,242
316245,202012,6,96
316270,202012,7,164
316330,202012,14,37
316350,202012,8,9
316380,202012,16,48
316420,202012,13,125
316555,202012,33,175
316556,202012,1,16
316590,202012,3,68
316640,202012,1,3
316695,202012,63,233
316710,202012,4,99
316720,202012,2,12
316800,202012,1,129
316860,202012,8,121
316870,202012,6,6
316900,202012,2,12
316970,202012,1,76
317000,202012,5,168
317052,202012,7,139
317090,202012,4,275
317103,202012,12,274
317107,202012,1,61
317115,202012,1,1
317130,202012,2,16
317160,202012,14,287
320080,202012,3,9
320100,202012,1,21
320150,202012,2,54
320320,202012,1,60
320330,202012,3,23
320350,202012,1,20
320405,202012,1,23
320425,202012,2,31
320435,202012,2,30
320465,202012,3,17
320490,202012,1,20
410310,202012,1,108
410405,202012,9,31
410500,202012,10,28
410870,202012,13,24
410880,202012,47,104
411020,202012,1,173
411345,202012,8,37
411540,202012,10,10
411990,202012,2,62
412125,202012,26,27
412740,202012,60,60
412785,202012,13,13
420005,202012,1,2
420050,202012,1,3
420325,202012,1,7
420517,202012,4,45
420550,202012,2,29
420720,202012,1,34
420768,202012,11,132
420780,202012,1,4
420930,202012,2,15
420970,202012,2,30
421200,202012,1,9
421223,202012,4,14
421360,202012,1,10
421507,202012,2,38
421600,202012,1,2
421620,202012,1,4
421670,202012,1,6
421680,202012,1,37
430045,202012,1,23
430063,202012,35,84
430120,202012,2,123
430175,202012,12,93
430330,202012,1,16
430512,202012,15,64
430515,202012,1,55
430530,202012,29,29
430607,202012,53,131
430690,202012,1,106
430693,202012,5,25
430730,202012,37,202
430745,202012,1,105
430830,202012,9,173
430840,202012,5,128
430850,202012,10,59
430900,202012,1,21
431050,202012,12,168
431060,202012,5,19
431085,202012,25,124
431125,202012,2,214
431142,202012,37,142
431160,202012,1,139
431177,202012,1,40
431250,202012,26,95
431349,202012,11,58
431350,202012,1,7
431365,202012,15,94
431370,202012,20,20
431406,202012,2,108
431417,202012,16,76
431460,202012,24,118
431470,202012,40,229
431480,202012,7,25
431490,202012,7,100
431540,202012,1,905
431550,202012,1,42
431555,202012,29,66
431570,202012,4,133
431590,202012,38,45
431610,202012,25,193
431642,202012,2,52
431645,202012,3,98
431700,202012,29,138
431730,202012,13,51
431890,202012,1,22
431915,202012,1,65
431920,202012,1,24
432010,202012,9,20
432132,202012,9,43
432135,202012,30,56
432160,202012,1,17
432185,202012,22,127
432195,202012,18,95
432260,202012,1,95
432350,202012,9,40
530010,202012,2,720
