codigo_ibge,anomes_s,formento_qtd_familias_beneficiarias_i,formento_qtd_familias_beneficiarias_acumulado_i
110001,202112,1,400
110002,202112,3,315
110004,202112,1,322
110013,202112,3,39
110014,202112,2,285
110020,202112,4,339
110025,202112,1,159
150060,202112,78,153
150130,202112,2,383
150260,202112,74,147
150270,202112,3,18
150293,202112,2,23
150310,202112,50,197
150320,202112,147,298
150330,202112,2,70
150340,202112,71,213
150360,202112,72,75
150370,202112,1,20
150375,202112,74,74
150410,202112,1,71
150420,202112,11,132
150503,202112,2,2
150506,202112,72,72
150565,202112,73,73
150613,202112,5,13
150619,202112,74,217
150620,202112,1,23
150630,202112,3,227
150650,202112,1,149
150660,202112,65,173
150700,202112,112,225
150710,202112,40,189
150740,202112,38,92
150790,202112,3,187
150810,202112,10,11
150830,202112,2,527
170025,202112,1,2
170030,202112,14,14
170130,202112,10,30
170190,202112,31,58
170220,202112,14,252
170240,202112,19,184
170360,202112,24,25
170380,202112,7,7
170390,202112,17,35
170720,202112,30,42
170900,202112,103,421
170930,202112,1,15
171070,202112,10,116
171200,202112,4,9
171280,202112,38,122
171370,202112,1,13
171380,202112,24,36
171395,202112,10,10
171488,202112,19,134
171500,202112,29,46
171610,202112,5,6
171620,202112,33,610
171790,202112,12,30
171820,202112,13,42
171840,202112,6,17
171845,202112,2,2
171850,202112,59,176
171870,202112,30,50
171888,202112,1,12
172030,202112,6,6
172100,202112,5,24
172110,202112,71,97
172120,202112,27,218
172130,202112,7,34
210020,202112,94,1616
210047,202112,2,95
210060,202112,9,79
210140,202112,22,75
210170,202112,94,193
210177,202112,29,64
210193,202112,32,46
210203,202112,2,67
210235,202112,27,27
210250,202112,63,686
210280,202112,27,28
210300,202112,2,946
210310,202112,1,305
210325,202112,2,76
210355,202112,1,191
210370,202112,16,412
210375,202112,5,28
210408,202112,3,323
210455,202112,67,67
210510,202112,24,24
210530,202112,2,2
210540,202112,42,558
210550,202112,11,68
210596,202112,1,139
210650,202112,70,447
210690,202112,26,62
210700,202112,1,1
210745,202112,1,2
210830,202112,31,418
210840,202112,8,455
210845,202112,28,419
210860,202112,1,810
210920,202112,16,124
211000,202112,2,25
211020,202112,11,15
211107,202112,57,463
211130,202112,1,113
